MACRO;UF;REGIAO_TURISTICA;MUNICIPIO;COD_IBGE;QUANTIDADE_EMPREGOS;QUANTIDADE_ESTABELECIMENTOS;QUANTIDADE_VISITAS_ESTIMADAS_INTERNACIONAL;QUANTIDADE_VISITAS_ESTIMADAS_NACIONAL;ARRECADACAO;CLUSTER
Sudeste;SP;História & Aventuras;Sorocaba;3552205;699;58;20.500;466.746;R$7.707.018,00;B
Norte;PA;Região Turística do Capim;Dom Eliseu;1502939;41;6;0;1.054; R$ -   ;C
Norte;PA;Região Turística Amazônia Atlântica Guamá;Marapanim;1504406;0;0;182;63.263; R$ -   ;C
Norte;PA;Região Turística Amazônia Atlântica Guamá;São Caetano de Odivelas;1507102;0;0;0;4.619; R$ -   ;D
Norte;PA;Região Turística Amazônia Atlântica Caeté;Tracuateua;1508035;13;1;0;2.468; R$ -   ;D
Sudeste;SP;Águas e Flores Paulista;Jaguariúna;3524709;108;8;2.589;14.879;R$1.140.812,00;C
Sudeste;SP;entre serras e aguas;Joanópolis;3525508;141;8;64;24.788; R$ -   ;C
Nordeste;PB;Brejo;Areia;2501104;19;2;0;14.719; R$ -   ;D
Nordeste;PB;Cariri;Boqueirão;2502508;0;1;0;29.010; R$ -   ;D
Nordeste;PB;Trilhas dos Tabajaras;Caaporã;2503001;4;1;0;67.792; R$ -   ;C
Sul;PR;Vales do Iguaçu;Verê;4128609;90;3;0;29.771; R$ -   ;C
Nordeste;RN;Polo Costa Branca;Baraúna;2401453;20;2;66;29.010; R$ -   ;D
Norte;RR;Roraima, a Savana Amazônica;Cantá;1400175;0;0;0;18.604; R$ -   ;D
Norte;TO;Vale dos Grandes Rios;Itacajá;1710508;0;0;0;13.588; R$ -   ;D
Norte;AP;Região Turística Meio do Mundo;Santana;1600600;6;3;0;0; R$ -   ;D
Sudeste;SP;Águas e Flores Paulista;Amparo;3501905;120;9;2.085;19.885;R$1.132.273,00;C
Nordeste;BA;Costa do Cacau;Uruçuca;2932705;61;7;263;36.253; R$ -   ;C
Nordeste;CE;Cariri;Assaré;2301604;0;0;77;1.319; R$ -   ;D
Nordeste;CE;Serras de Aratanha e Baturité;Palmácia;2310100;0;0;0;8.983; R$ -   ;D
Centro-Oeste;GO;Região Turística do Ouro e Cristais;Goiás;5208905;72;14;1.821;255.311;R$390.409,00;B
Nordeste;PB;Vale do Paraíba;Umbuzeiro;2517001;0;0;0;3.499; R$ -   ;D
Nordeste;PE;ÁGUAS E VINHOS DO VALE DO SÃO FRANCISCO;Dormentes;2605152;0;0;0;18.003; R$ -   ;D
Nordeste;BA;Caminhos do Sertão;Euclides da Cunha;2910701;42;10;0;33.848; R$ -   ;C
Nordeste;BA;Costa das Baleias;Nova Viçosa;2923001;51;11;1.414;118.516;R$270.929,00;C
Nordeste;CE;Sertão dos Inhamuns;Crateús;2304103;26;8;350;42.738;R$150.085,00;C
Nordeste;PE;SERRAS E ARTES DE PERNAMBUCO;Brejo da Madre de Deus;2602605;19;2;217;25.038; R$ -   ;D
Nordeste;PE;SERRAS E ARTES DE PERNAMBUCO;Caruaru;2604106;397;28;2.653;693.464;R$3.597.999,00;B
Nordeste;PE;CANGAÇO E LAMPIÃO;Flores;2605608;0;0;0;8.345; R$ -   ;D
Nordeste;PI;Polo Costa do Delta;Cajueiro da Praia;2202083;97;10;802;3.656; R$ -   ;C
Nordeste;PI;Polo das Nascentes;Cristino Castro;2203107;24;3;0;4.081; R$ -   ;D
Centro-Oeste;GO;Região Turística da Estrada de Ferro;Catalão;5205109;247;29;1.820;84.810;R$2.169.448,00;B
Nordeste;MA;Polo Chapada das Mesas;Fortaleza dos Nogueiras;2104107;0;0;81;1.187; R$ -   ;D
Sudeste;MG;Lago de Irapé;Berilo;3106507;0;0;0;0; R$ -   ;D
Sul;RS;Costa Doce;Chuí;4305439;83;6;4.716;0; R$ -   ;C
Nordeste;PI;Polo Costa Teresina;José de Freitas;2205508;0;0;0;10.733; R$ -   ;D
Nordeste;PI;Polo Histórico Cultural;Valença do Piauí;2211308;4;1;0;14.345; R$ -   ;D
Sudeste;MG;Montanhas e Fé;Sericita;3166303;0;0;0;0; R$ -   ;D
Nordeste;MA;Polo Floresta dos Guarás;Apicum-Açu;2100832;0;0;64;1.371; R$ -   ;D
Sul;PR;Rotas do Pinhão;Colombo;4105805;97;8;0;0;R$818.247,00;C
Sul;PR;Corredores das Águas;Itaguajé;4110904;0;0;0;9.881; R$ -   ;D
Sul;PR;Vale do Ivaí;Jardim Alegre;4112504;0;0;0;0; R$ -   ;D
Sul;PR;Vale do Ivaí;Lunardelli;4113759;0;0;258;0; R$ -   ;D
Sul;PR;Cataratas do Iguaçu e Caminhos ao Lago de Itaipu;Marechal Cândido Rondon;4114609;25;5;3.169;3.872;R$458.012,00;D
Sul;PR;Cataratas do Iguaçu e Caminhos ao Lago de Itaipu;Missal;4116059;1;2;2.837;17.011; R$ -   ;D
Sul;PR;Vales do Iguaçu;Pato Branco;4118501;151;18;1.926;69.704;R$1.473.253,00;B
Sudeste;RJ;METROPOLITANA;Niterói;3303302;609;32;19.548;240.687;R$8.506.356,00;B
Sudeste;RJ;BAIXADA VERDE;Nova Iguaçu;3303500;85;8;1.855;31.810;R$2.281.210,00;C
Nordeste;RN;Polo Costa das Dunas;Ceará-Mirim;2402600;9;4;120;35.618; R$ -   ;D
Norte;RO;POLO TURISTICO RIOS DE RONDON;Presidente Médici;1100254;11;2;0;6.794; R$ -   ;D
Sudeste;SP;Angra Doce Paulista;Ipaussu;3520905;10;2;0;0; R$ -   ;D
Centro-Oeste;GO;Região Turística Vale da Serra da Mesa;Minaçu;5213087;21;7;120;72.788; R$ -   ;C
Centro-Oeste;GO;Região Turística Vale da Serra da Mesa;Uruaçu;5221601;68;9;578;215.680;R$375.239,00;B
Norte;RO;POLO TURÍSTICO VALE DO JAMARI;Campo Novo de Rondônia;1100700;0;0;112;0; R$ -   ;D
Sul;RS;Costa Doce;Guaíba;4309308;34;6;1.658;19.039; R$ -   ;C
Sudeste;MG;Águas;São Lourenço;3163706;705;45;2.073;295.415;R$4.592.822,00;B
Sudeste;MG;Pico da Bandeira;Simonésia;3167608;1;1;0;21.129; R$ -   ;D
Sul;PR;Riquezas do Oeste;Toledo;4127700;159;18;7.817;201.066;R$1.959.796,00;B
Sul;PR;Corredores das Águas;Umuarama;4128104;157;15;2.060;134.223;R$1.547.428,00;B
Sudeste;RJ;CAMINHOS DA SERRA;Macuco;3302452;4;1;0;0; R$ -   ;D
Sudeste;RJ;COSTA VERDE;Mangaratiba;3302601;945;19;7.901;192.198;R$2.109.469,00;B
Sudeste;RJ;VALE DO CAFÉ;Miguel Pereira;3302908;171;13;661;56.076;R$1.044.471,00;C
Nordeste;RN;Polo Costa Branca;Galinhos;2404101;21;4;387;2.695; R$ -   ;D
Nordeste;SE;Polo Velho Chico;Monte Alegre de Sergipe;2804201;0;0;91;0; R$ -   ;D
Nordeste;PE;FÉ E ARTE;Ibimirim;2606606;4;2;0;0; R$ -   ;D
Nordeste;PE;ENGENHOS E MARACATUS;Paudalho;2610608;9;2;0;10.151; R$ -   ;D
Nordeste;PB;Brejo;Borborema;2502706;0;0;0;756; R$ -   ;D
Nordeste;RN;Polo Agreste/Trairi;Monte das Gameleiras;2407906;17;1;0;303; R$ -   ;D
Nordeste;RN;Polo Costa Branca;Tibau;2411056;7;2;664;133.494; R$ -   ;C
Nordeste;RN;Polo Costa das Dunas;Touros;2414407;48;7;136;31.930; R$ -   ;C
Norte;RO;POLO TURÍSTICO ZONA DA MATA;Alta Floresta DOeste;1100015;1;2;0;0; R$ -   ;D
Sudeste;SP;Tietê Vivo;Penápolis;3537305;63;11;1.273;45.065;R$211.532,00;C
Sudeste;SP;Pantanal Paulista;Valparaíso;3556305;23;5;0;44.106; R$ -   ;C
Sudeste;MG;Velho Chico;Bonito de Minas;3108255;0;0;0;4.671; R$ -   ;D
Nordeste;PB;Vale do Paraíba;Pilar;2511509;0;0;182;14.127; R$ -   ;D
Nordeste;PE;HISTÓRICA, DOS ARRECIFES E MANGUEZAIS;Barreiros;2601409;3;2;0;11.284; R$ -   ;D
Nordeste;PI;Polo das Nascentes;Avelino Lopes;2201101;0;0;0;0; R$ -   ;D
Norte;RO;POLO TURÍSTICO VALE DO GUAPORÉ;Pimenteiras do Oeste;1101468;1;1;0;8.639; R$ -   ;D
Norte;RO;POLO TURÍSTICO REGIÃO DOS FORTES;São Francisco do Guaporé;1101492;5;3;0;11.490; R$ -   ;D
Sul;RS;Vale do Taquari;Anta Gorda;4300703;2;2;2;0; R$ -   ;D
Sul;RS;Rota do Rio Uruguai;Boa Vista do Buricá;4302204;11;3;0;12.746; R$ -   ;D
Sul;RS;Rota Águas e Pedras;Caiçara;4303400;2;1;0;0; R$ -   ;D
Sudeste;SP;Águas Sertanejas;Bebedouro;3506102;103;11;850;9.413;R$729.890,00;C
Sul;PR;Ecoaventuras, Histórias e Sabores;Juranda;4112959;9;2;182;0; R$ -   ;D
Sudeste;SP;Águas do Oeste;Osvaldo Cruz;3534609;3;2;75;31.903; R$ -   ;D
Nordeste;MA;Polo  São Luís;Alcântara;2100204;0;0;1.079;15.573; R$ -   ;D
Nordeste;MA;Polo  São Luís;São José de Ribamar;2111201;105;6;129;3.320;R$568.524,00;C
Sudeste;MG;Nascentes das Gerais e Canastra;Alpinópolis;3101904;10;2;182;0; R$ -   ;D
Sudeste;MG;Veredas do Paraopeba;Mário Campos;3140159;1;1;0;2.624; R$ -   ;D
Sul;RS;Vale do Rio Pardo;Candelária;4304200;18;5;2.192;21.204; R$ -   ;D
Sul;RS;Vale do Taquari;Nova Bréscia;4313003;1;1;91;9.444; R$ -   ;D
Sul;RS;Vale do Jaguarí;Nova Esperança do Sul;4313037;3;1;0;0; R$ -   ;D
Sul;RS;Rota do Rio Uruguai;Porto Lucena;4315008;0;0;0;1.125; R$ -   ;D
Sul;RS;Rota Missões;Porto Xavier;4315107;3;3;731;0; R$ -   ;D
Sul;RS;Rota do Rio Uruguai;Santo Cristo;4317905;18;5;100;435; R$ -   ;D
Sul;SC;Encantos do Sul SC;Laguna;4209409;125;17;10.788;77.073;R$673.969,00;B
Nordeste;BA;Caminhos do Oeste;Santa Maria da Vitória;2928109;34;5;220;33.995; R$ -   ;C
Sul;MS;Caminhos da Natureza / Cone Sul;Naviraí;5005707;62;12;112;6.612;R$312.759,00;C
Sudeste;SP;TRILHOS E TRILHAS DA BAIXAMOGIANA;Cosmópolis;3512803;13;7;272;13.098; R$ -   ;C
Sudeste;SP;MARAVILHAS  DO RIO GRANDE;Fernandópolis;3515509;96;8;407;39.009;R$630.076,00;C
Sudeste;SP;Circuito das Frutas;Indaiatuba;3520509;259;18;9.406;71.525;R$1.826.449,00;B
Sudeste;SP;Mananciais, Aventura e Arte;Itapecerica da Serra;3522208;143;6;503;26.902; R$ -   ;C
Sudeste;SP;TRILHOS E TRILHAS DA BAIXAMOGIANA;Itapira;3522604;43;9;251;18.079;R$373.099,00;C
Sudeste;SP;TRILHOS E TRILHAS DA BAIXAMOGIANA;Mogi Guaçu;3530706;75;9;506;31.161;R$684.618,00;C
Sudeste;SP;Negócios e Cultura;Osasco;3534401;285;21;2.263;113.388;R$9.463.206,00;B
Sudeste;SP;ABC Tur - Rota da Natureza e da Indústria;São Caetano do Sul;3548807;54;8;3.965;1.208; R$ -   ;C
Nordeste;CE;LITORAL LESTE;Eusébio;2304285;14;1;134;65.919; R$ -   ;C
Centro-Oeste;GO;Região Turística Lagos do Paranaíba;Quirinópolis;5218508;44;10;0;13.323;R$317.723,00;C
Sudeste;MG;Lago de Furnas;Boa Esperança;3107109;39;8;171;31.757;R$233.476,00;C
Sudeste;MG;Grutas e Mar de Minas;Formiga;3126109;105;11;319;2.624;R$401.864,00;C
Sudeste;MG;Velho Chico;Januária;3135209;27;6;304;45.769; R$ -   ;C
Sudeste;MG;Serra do Brigadeiro;Muriaé;3143906;180;16;611;55.230;R$1.201.710,00;B
Centro-Oeste;MT;Região Turística Vale do Juruena;Juína;5105150;48;13;102;13.722;R$283.290,00;C
Norte;PA;Região Turística do Araguaia;Conceição do Araguaia;1502707;22;5;310;37.250; R$ -   ;C
Sul;SC;Vale dos Imigrantes;Curitibanos;4204806;60;6;661;19.485; R$ -   ;C
Nordeste;SE;Polo Costa dos Coqueirais;Pirambu;2805307;3;1;108;15.299; R$ -   ;D
Nordeste;SE;Polo Velho Chico;Porto da Folha;2805604;0;0;0;30.272; R$ -   ;D
Sudeste;SP;Nascentes do Tietê;Arujá;3503901;17;5;851;51.174; R$ -   ;C
Sudeste;SP;Fé;Cachoeira Paulista;3508603;72;15;1.393;142.270;R$442.899,00;B
Norte;TO;Vale dos Grandes Rios;Pedro Afonso;1716505;12;5;0;54.506; R$ -   ;C
Nordeste;SE;Polo dos Tabuleiros;Capela;2801306;0;1;149;5.985; R$ -   ;D
Nordeste;SE;Polo Velho Chico;Cedro de São João;2801603;0;0;0;794; R$ -   ;D
Sudeste;SP;Roteiro dos Bandeirantes;Porto Feliz;3540606;180;6;595;42.555; R$ -   ;C
Sudeste;SP;Circuito das Frutas;Vinhedo;3556701;107;6;4.287;31.660; R$ -   ;C
Norte;AP;Região Turística Tumucumaque e Cachoeiras;Pedra Branca do Amaparí;1600154;3;3;0;30.367; R$ -   ;D
Norte;PA;Região Turística do Lago de Tucuruí;Tucuruí;1508100;32;6;389;98.786;R$269.589,00;C
Sudeste;SP;Caminhos da Mogiana;Sertãozinho;3551702;82;13;907;27.138;R$947.058,00;C
Norte;TO;Vale dos Grandes Rios;Araguanã;1702158;0;0;64;0; R$ -   ;D
Norte;TO;Ilha do Bananal;Peixe;1716604;3;2;0;7.186; R$ -   ;D
Nordeste;PE;COSTA NÁUTICA COROA DO AVIÃO;Ilha de Itamaracá;2607604;55;6;355;158.368; R$ -   ;C
Sudeste;SP;Negócios e Cultura;Carapicuíba;3510609;130;6;765;6.848; R$ -   ;C
Sudeste;SP;Mananciais, Aventura e Arte;Ibiúna;3519709;80;6;1.249;28.362; R$ -   ;C
Sudeste;SP;PONTAL PAULISTA;Mirante do Paranapanema;3530201;1;1;0;13.569; R$ -   ;D
Nordeste;MA;Polo Cocais;Bacabal;2101202;71;8;370;67.808; R$ -   ;C
Sudeste;SP;Bem Viver;Nova Odessa;3533403;41;4;575;41.116; R$ -   ;C
Nordeste;BA;Chapada Diamantina;Utinga;2932804;4;1;0;6.699; R$ -   ;D
Sul;PR;Norte Pioneiro;Cambará;4103602;9;2;0;51.815; R$ -   ;C
Centro-Oeste;GO;Região Turística Lagos do Paranaíba;São Simão;5220405;64;7;505;13.228;R$147.877,00;C
Sudeste;SP;Entre Rios, Serras  e Cafés.;Caconde;3508702;12;3;0;60.976; R$ -   ;C
Sudeste;SP;PONTAL PAULISTA;Rosana;3544251;24;4;122;38.820; R$ -   ;C
Centro-Oeste;GO;Região Turística do Ouro e Cristais;Cristalina;5206206;101;18;615;27.095;R$594.168,00;C
Centro-Oeste;GO;Região Turística das Águas e Cavernas do Cerrado;Formosa;5208004;90;18;911;93.391;R$777.452,00;B
Centro-Oeste;GO;Região Turística Pegadas no Cerrado;Mineiros;5213103;124;15;885;53.838;R$1.009.218,00;C
Nordeste;MA;Polo Delta das Américas;Araioses;2100907;0;0;64;6.010; R$ -   ;D
Nordeste;MA;Polo Serras Guajajara Timbira e Kanela;Barra do Corda;2101608;43;6;37;67.529; R$ -   ;C
Nordeste;MA;Polo Lençóis Maranhenses;Barreirinhas;2101707;151;27;15.456;99.015;R$940.417,00;B
Centro-Oeste;MT;Região Turística Vale do São Lourenço;Campo Verde;5102678;81;11;207;40.546;R$505.277,00;C
Centro-Oeste;MT;Região Turística Portal da Amazônia;Guarantã do Norte;5104104;28;10;0;45.238;R$199.746,00;C
Centro-Oeste;MT;Região Turística Portal do Agronegócio;Sorriso;5107925;194;19;1.131;79.398;R$1.563.181,00;B
Nordeste;PB;Trilhas dos Tabajaras;Conde;2504603;193;21;783;20.694;R$1.632.929,00;B
Nordeste;PB;Vale dos Sertões;Pombal;2512101;5;1;0;53.857; R$ -   ;C
Nordeste;PE;MODA E ECOTURISMO;Santa Cruz do Capibaribe;2612505;21;7;116;148.988;R$176.479,00;C
Sudeste;RJ;COSTA DO SOL;Casimiro de Abreu;3301306;18;8;2.932;28.116; R$ -   ;C
Sudeste;RJ;COSTA DO SOL;Iguaba Grande;3301876;7;2;262;55.183; R$ -   ;C
Sul;RS;Termas e Lagos;Erechim;4307005;128;21;2.472;87.999;R$1.639.074,00;B
Sul;RS;Uva e Vinho;Farroupilha;4307906;76;5;862;29.724;R$899.559,00;C
Sudeste;SP;Caminhos do São Domingos;Catanduva;3511102;83;7;1.732;74.069;R$1.262.465,00;C
Sudeste;SP;Mananciais, Aventura e Arte;Cotia;3513009;58;6;2.662;19.875;R$1.442.796,00;C
Norte;AC;Caminhos do Pacífico;Assis Brasil;1200054;1;1;0;27.381; R$ -   ;D
Norte;AC;Caminhos do Pacífico;Brasiléia;1200104;22;4;81;31.090; R$ -   ;D
Norte;AC;Caminhos do Pacífico;Epitaciolândia;1200252;31;6;0;4.785; R$ -   ;D
Norte;AC;Caminhos das Aldeias e da Biodiversidade;Feijó;1200302;10;2;170;11.536; R$ -   ;D
Norte;AC;Caminhos da Revolução;Plácido de Castro;1200385;2;1;0;0; R$ -   ;D
Norte;AC;Caminhos das Aldeias e da Biodiversidade;Tarauacá;1200609;30;8;0;19.114; R$ -   ;C
Nordeste;AL;Lagoas e Mares do Sul;Barra de São Miguel;2700607;89;11;207;8.936;R$2.546.565,00;C
Nordeste;AL;Lagoas e Mares do Sul;Coruripe;2702306;45;8;311;40.254; R$ -   ;C
Nordeste;AL;Caminhos do São Francisco;Delmiro Gouveia;2702405;26;11;0;35.777;R$59.462,00;C
Nordeste;AL;Costa dos Corais;Japaratinga;2703601;260;21;730;42.919;R$1.403.838,00;B
Nordeste;AL;Grande Maceió;Maceió;2704302;3.081;124;78.259;1.448.550;R$47.781.969,00;A
Nordeste;AL;Agreste;Palmeira dos Índios;2706307;24;5;182;68.851; R$ -   ;C
Norte;AM;Polo Alto Solimões;Benjamin Constant;1300607;0;0;0;946; R$ -   ;D
Norte;AM;Polo Amazônico;Manacapuru;1302504;33;6;316;111.358;R$93.388,00;C
Norte;AM;Polo Satere;Parintins;1303403;37;4;578;91.100;R$78.591,00;C
Norte;AM;Polo Amazônico;Rio Preto da Eva;1303569;67;5;0;57.707; R$ -   ;C
Norte;AP;Região Turística Tumucumaque e Cachoeiras;Ferreira Gomes;1600238;22;7;0;12.024; R$ -   ;C
Norte;AP;Região Turística Vale do Jari;Laranjal do Jari;1600279;32;7;0;0; R$ -   ;C
Norte;AP;Região Turística Cabo Orange;Oiapoque;1600501;32;9;911;10.251; R$ -   ;C
Nordeste;BA;Caminhos do Sertão;Alagoinhas;2900702;129;14;467;91.504;R$1.295.849,00;B
Nordeste;BA;Costa do Cacau;Ilhéus;2913606;1.073;55;9.781;469.795;R$9.180.149,00;A
Nordeste;BA;Costa do Cacau;Ipiaú;2913903;42;7;275;44.064;R$214.342,00;C
Nordeste;BA;Costa do Cacau;Itacaré;2914901;515;57;17.476;129.768;R$4.439.834,00;B
Nordeste;BA;Baía de Todos os Santos;Itaparica;2916104;19;5;8.740;245.038; R$ -   ;B
Nordeste;BA;Chapada Diamantina;Jacobina;2917508;85;14;849;54.477;R$793.292,00;C
Nordeste;BA;Baía de Todos os Santos;Santo Amaro;2928604;22;5;222;40.012; R$ -   ;C
Nordeste;BA;Baía de Todos os Santos;Saubara;2929750;3;1;0;132.714; R$ -   ;C
Nordeste;BA;Chapada Diamantina;Senhor do Bonfim;2930105;73;11;271;53.905;R$269.831,00;C
Nordeste;BA;Costa das Baleias;Teixeira de Freitas;2931350;187;23;2.948;67.376;R$1.449.083,00;B
Nordeste;BA;Baía de Todos os Santos;Vera Cruz;2933208;362;13;456;139.602;R$126.844,00;B
Nordeste;CE;Serras de Aratanha e Baturité;Baturité;2302107;17;4;341;40.133; R$ -   ;C
Nordeste;CE;LITORAL LESTE;Beberibe;2302206;256;20;3.072;242.566;R$2.991.229,00;B
Nordeste;CE;Serras de Aratanha e Baturité;Guaramiranga;2305100;50;10;676;58.611;R$736.470,00;C
Nordeste;CE;Chapada da Ibiapaba;Guaraciaba do Norte;2305001;21;1;64;13.536; R$ -   ;D
Nordeste;CE;LITORAL LESTE;Icapuí;2305357;39;7;2.059;27.054; R$ -   ;C
Nordeste;CE;Litoral Oeste;São Gonçalo do Amarante;2312403;54;12;3.928;82.339;R$332.177,00;C
Nordeste;CE;Sertão dos Inhamuns;Tauá;2313302;15;2;0;53.651; R$ -   ;C
Sudeste;ES;Doce Pontões Capixaba;Colatina;3201506;114;15;987;62.130;R$1.493.866,00;B
Sudeste;ES;Metropolitana;Fundão;3202207;53;9;0;1.220; R$ -   ;C
Sudeste;ES;Verde e das Águas;Linhares;3203205;163;16;1.164;83.999;R$1.600.681,00;B
Sudeste;ES;Metropolitana;Vila Velha;3205200;184;24;6.340;130.166;R$2.863.164,00;B
Centro-Oeste;GO;Região Turística dos Negócios e Tradições;Goiânia;5208707;1.950;148;55.810;3.090.431;R$25.457.864,00;A
Sudeste;MG;Ouro;Itabira;3131703;98;18;413;32.381;R$1.104.995,00;C
Sudeste;MG;Águas;Lambari;3137809;105;8;0;35.529; R$ -   ;C
Sudeste;MG;Serras de Ibitipoca;Lima Duarte;3138609;75;14;372;14.231;R$385.393,00;C
Sul;PR;Rotas do Pinhão;Campo Largo;4104204;64;5;1.774;51.208; R$ -   ;C
Sul;PR;Corredores das Águas;Cianorte;4105508;86;10;827;94.220;R$969.943,00;C
Nordeste;CE;Vale do Jaguaribe;Limoeiro do Norte;2307601;8;1;384;19.482; R$ -   ;D
Sudeste;ES;Montanhas Capixabas;Domingos Martins;3201902;338;24;281;68.425;R$3.584.078,00;B
Sul;PR;Terra dos Pinheirais;Irati;4110706;60;9;1.778;34.562;R$404.095,00;C
Sudeste;SP;ABC Tur - Rota da Natureza e da Indústria;Santo André;3547809;299;18;9.234;21.416;R$21.920.400,00;B
Sul;RS;Cultura e Tradição;Passo Fundo;4314100;392;23;15.940;349.768;R$6.340.243,00;B
Sul;SC;Vale Europeu;Blumenau;4202404;434;34;17.130;491.498;R$6.133.712,00;B
Centro-Oeste;GO;Região Turística do Ouro e Cristais;Pirenópolis;5217302;527;51;4.412;222.846;R$4.816.501,00;B
Sul;RS;Costa Doce;Rio Grande;4315602;338;33;33.288;696.471;R$3.598.486,00;B
Nordeste;MA;Polo Chapada das Mesas;Carolina;2102804;34;8;448;30.905;R$1.033.867,00;C
Nordeste;MA;Polo Floresta dos Guarás;Cururupu;2103703;3;2;0;17.824; R$ -   ;D
Nordeste;MA;Polo Chapada das Mesas;Tasso Fragoso;2112001;0;0;0;0; R$ -   ;D
Sudeste;SP;Costa da Mata Atlântica;Cubatão;3513504;34;9;599;86.750;R$373.391,00;C
Sudeste;SP;entre serras e aguas;Mairiporã;3528502;261;15;763;33.823;R$2.715.057,00;B
Sudeste;SP;Águas e Flores Paulista;Monte Alegre do Sul;3531209;40;10;111;28.059;R$452.055,00;C
Sudeste;SP;ABC Tur - Rota da Natureza e da Indústria;São Bernardo do Campo;3548708;591;40;5.657;96.325;R$6.079.433,00;B
Nordeste;BA;Chapada Diamantina;Abaíra;2900108;5;2;0;0; R$ -   ;D
Nordeste;BA;Chapada Diamantina;Mucugê;2921906;28;8;737;0;R$126.976,00;C
Nordeste;BA;Caminhos do Oeste;Santa Rita de Cássia;2928406;0;0;0;23.034; R$ -   ;D
Sudeste;SP;Águas e Flores Paulista;Serra Negra;3551603;739;45;978;167.317;R$9.423.924,00;B
Nordeste;RN;Polo Seridó;Jucurutu;2406106;0;0;0;5.082; R$ -   ;D
Sul;PR;Rotas do Pinhão;São José dos Pinhais;4125506;199;20;361;17.209;R$3.605.830,00;B
Sul;RS;Litoral Norte Gaúcho;Capão da Canoa;4304630;147;36;34.499;393.051;R$1.034.343,00;B
Sudeste;MG;Lago de Furnas;Alterosa;3102001;1;1;116;27.275; R$ -   ;D
Sudeste;MG;Serras de Ibitipoca;Arantina;3103603;4;1;0;0; R$ -   ;D
Sudeste;MG;Veredas do Paraopeba;Brumadinho;3109006;127;14;777;13.569;R$1.254.518,00;C
Sul;RS;Litoral Norte Gaúcho;Imbé;4310330;77;10;8.256;76.217;R$514.536,00;C
Sudeste;SP;Circuito das Frutas;Itatiba;3523404;254;7;1.906;56.997; R$ -   ;C
Sudeste;SP;Caminhos do Tietê;Ibitinga;3519600;41;8;0;56.965;R$498.658,00;C
Nordeste;AL;Caminhos do São Francisco;Água Branca;2700102;0;0;0;0; R$ -   ;D
Sudeste;MG;Mata Atlântica de Minas;Coronel Fabriciano;3119401;81;8;1.178;34.469; R$ -   ;C
Sudeste;MG;Caminhos da Mantiqueira;Cristina;3120508;5;1;0;0; R$ -   ;D
Sudeste;MG;Caminhos da Mantiqueira;Delfim Moreira;3121100;12;5;0;4.903; R$ -   ;D
Sudeste;MG;Mata Atlântica de Minas;Dionísio;3121803;1;1;0;0; R$ -   ;D
Sudeste;MG;Serras de Minas;Dom Silvério;3122702;4;1;0;12.250; R$ -   ;D
Sudeste;MG;Grutas;Lagoa Santa;3137601;201;12;1.462;50.337;R$1.408.194,00;C
Nordeste;BA;Costa dos Coqueiros;Entre Rios;2910503;68;12;209;80.148;R$670.559,00;C
Nordeste;BA;Chapada Diamantina;Ibicoara;2912202;1;2;116;0; R$ -   ;D
Sudeste;MG;Mata Atlântica de Minas;Timóteo;3168705;77;10;1.386;43.695;R$787.428,00;C
Sudeste;MG;Alta Mogiana;Uberaba;3170107;593;41;5.554;169.288;R$5.424.041,00;B
Sul;MS;Rota Cerrado Pantanal;Rio Verde de Mato Grosso;5007406;29;9;121;2.317; R$ -   ;C
Sul;MS;Rota Cerrado Pantanal;Sonora;5007935;40;8;0;5.056; R$ -   ;C
Sul;MS;Integra Costa Leste - Vale do Aporé;Três Lagoas;5008305;333;40;2.087;204.801;R$4.959.982,00;B
Norte;TO;Serras Gerais;Almas;1700400;2;2;0;1.494; R$ -   ;D
Norte;TO;Bico do Papagaio;Araguatins;1702208;16;5;335;7.486; R$ -   ;D
Nordeste;PB;Brejo;Pirpirituba;2511806;3;1;0;903; R$ -   ;D
Centro-Oeste;MT;Região Turística das Nascentes;Campo Novo do Parecis;5102637;65;10;207;83.967;R$525.237,00;C
Centro-Oeste;MT;Região Turística Portal da Amazônia;Peixoto de Azevedo;5106422;32;8;124;0;R$92.259,00;C
Centro-Oeste;MT;Região Turística  Pantanal Mato-Grossense;Poconé;5106505;299;20;797;14.093;R$4.834.919,00;B
Norte;PA;Região Turística Amazônia Atlântica Caeté;Augusto Corrêa;1500909;0;0;0;326; R$ -   ;D
Norte;PA;Região Turística Amazônia Atlântica Caeté;Bragança;1501709;63;11;1.016;111.766;R$256.369,00;C
Norte;PA;Região Turística das Florestas do Marajó;Chaves;1502509;0;0;0;681; R$ -   ;D
Nordeste;CE;Cariri;Barbalha;2301901;92;8;77;10.682;R$595.627,00;C
Sudeste;MG;Ouro;Barão de Cocais;3105400;40;11;0;18.933;R$276.457,00;C
Norte;PA;Região Turística do Araguaia;Rio Maria;1506161;9;2;245;33.480; R$ -   ;D
Nordeste;PB;Agreste ;Campina Grande;2504009;425;31;4.608;461.667;R$3.057.423,00;B
Sul;PR;Riquezas do Oeste;Formosa do Oeste;4108205;0;0;0;107.630; R$ -   ;C
Sudeste;MG;Velho Chico;São Francisco;3161106;11;6;212;27.662; R$ -   ;C
Nordeste;PE;FÉ E ARTE;Águas Belas;2600500;1;2;282;676; R$ -   ;D
